COUNTRY,ADJECTIVE,NOUN
Africa,African,an African
America,American,an American
Argentina,Argentinian,an Argentinian
Austria,Austrian,an Austrian
Australia,Australian,an Australian
Bangladesh,Bangladesh(i),a Bangladeshi
Belgium,Belgian,a Belgian
Brazil,Brazilian,a Brazilian
Britain,British,a Briton/Britisher
Cambodia,Cambodian,a Cambodian
Chile,Chilean,a Chilean
China,Chinese,a Chinese
Colombia,Colombian,a Colombian
Croatia,Croatian,a Croat
the Czech Republic,Czech,a Czech
Denmark,Danish,a Dane
England,English,an Englishman/Englishwoman
Finland,Finnish,a Finn
France,French,a Frenchman/Frenchwoman
Germany,German,a German
Greece,Greek,a Greek
Holland,Dutch,a Dutchman/Dutchwoman
Hungary,Hungarian,a Hungarian
Iceland,Icelandic,an Icelander
India,Indian,an Indian
Indonesia,Indonesian,an Indonesian
Iran,Iranian,an Iranian
Iraq,Iraqi,an Iraqi
Ireland,Irish,an Irishman/Irishwoman
Israel,Israeli,an Israeli
Jamaica,Jamaican,a Jamaican
Japan,Japanese,a Japanese
Mexico,Mexican,a Mexican
Morocco,Moroccan,a Moroccan
Norway,Norwegian,a Norwegian
Peru,Peruvian,a Peruvian
the Philippines,Philippine,a Filipino
Poland,Polish,a Pole
Portugal,Portuguese,a Portuguese
Romania,Romanian,a Romanian
Russia,Russian,a Russian
Saudi Arabia,"Saudi, Saudi Arabian","a Saudi, a Saudi Arabian"
Scotland,Scottish,a Scot
Serbia,Serbian,a Serb
the Slovak Republic,Slovak,a Slovak
Sweden,Swedish,a Swede
Switzerland,Swiss,a Swiss
Thailand,Thai,a Thai
The USA,American,an American
Tunisia,Tunisian,a Tunisian
Turkey,Turkish,a Turk
Vietnam,Vietnamese,a Vietnamese
Wales,Welsh,a Welshman/Welshwoman
Yugoslavia,Yugoslav,a Yugoslav
